,node,dataset,budgets,solving_time
475,75,cora_ml,"(5, 3)",103.85917472839355
476,76,cora_ml,"(5, 3)",0.2541775703430176
477,77,cora_ml,"(5, 3)",2.9329674243927
478,78,cora_ml,"(5, 3)",1283.1238687038422
479,79,cora_ml,"(5, 3)",1.8857204914093018
480,80,cora_ml,"(5, 3)",131.57015013694763
481,81,cora_ml,"(5, 3)",913.0129699707031
482,82,cora_ml,"(5, 3)",328.3114767074585
483,83,cora_ml,"(5, 3)",133.8982720375061
484,84,cora_ml,"(5, 3)",559.0046701431274
485,85,cora_ml,"(5, 3)",7.8618409633636475
486,86,cora_ml,"(5, 3)",2156.954207420349
487,87,cora_ml,"(5, 3)",61.516213178634644
488,88,cora_ml,"(5, 3)",1378.7400615215302
489,89,cora_ml,"(5, 3)",347.4205446243286
490,90,cora_ml,"(5, 3)",7.791131973266602
491,91,cora_ml,"(5, 3)",1072.7583873271942
492,92,cora_ml,"(5, 3)",27.69653344154358
493,93,cora_ml,"(5, 3)",200.96665906906128
494,94,cora_ml,"(5, 3)",260.8393397331238
495,95,cora_ml,"(5, 3)",773.6383719444275
496,96,cora_ml,"(5, 3)",35.11662316322327
497,97,cora_ml,"(5, 3)",6.535535573959351
498,98,cora_ml,"(5, 3)",0.60801100730896
499,99,cora_ml,"(5, 3)",1.0383777618408203
500,0,cora_ml,"(10, 5)",25.594061374664307
501,1,cora_ml,"(10, 5)",4.63240647315979
502,2,cora_ml,"(10, 5)",50.88114142417908
503,3,cora_ml,"(10, 5)",0.45201635360717773
504,4,cora_ml,"(10, 5)",519.6934649944305
505,5,cora_ml,"(10, 5)",1535.2807266712189
506,6,cora_ml,"(10, 5)",8.34192705154419
507,7,cora_ml,"(10, 5)",13.043359279632568
508,8,cora_ml,"(10, 5)",5.981514930725098
509,9,cora_ml,"(10, 5)",13.317671775817871
510,10,cora_ml,"(10, 5)",1.0278630256652832
511,11,cora_ml,"(10, 5)",12.827453851699829
512,12,cora_ml,"(10, 5)",2.5977931022644043
513,13,cora_ml,"(10, 5)",3.374926805496216
514,14,cora_ml,"(10, 5)",123.07097601890564
515,15,cora_ml,"(10, 5)",8.155013799667358
516,16,cora_ml,"(10, 5)",1.7705919742584229
517,17,cora_ml,"(10, 5)",59.51211142539978
518,18,cora_ml,"(10, 5)",0.8624043464660645
519,19,cora_ml,"(10, 5)",1.5758497714996338
520,20,cora_ml,"(10, 5)",16.123961687088013
521,21,cora_ml,"(10, 5)",0.5041720867156982
522,22,cora_ml,"(10, 5)",0.46115922927856445
523,23,cora_ml,"(10, 5)",4.080082654953003
524,24,cora_ml,"(10, 5)",2.7670788764953613
525,25,cora_ml,"(10, 5)",376.0644099712372
526,26,cora_ml,"(10, 5)",30.693888425827026
527,27,cora_ml,"(10, 5)",162.50963759422302
528,28,cora_ml,"(10, 5)",28.210533618927002
529,29,cora_ml,"(10, 5)",68.38809561729431
530,30,cora_ml,"(10, 5)",0.8184375762939453
531,31,cora_ml,"(10, 5)",70.34411835670471
532,32,cora_ml,"(10, 5)",31.64549422264099
533,33,cora_ml,"(10, 5)",345.3569052219391
534,34,cora_ml,"(10, 5)",1285.349858045578
535,35,cora_ml,"(10, 5)",212.41081047058105
536,36,cora_ml,"(10, 5)",656.3594787120819
